store_id,store_name,store_type,address_line,city,state,zip,phone,open_time,close_time,is_active,opened_on
STR0001,Slice & Dice #0001,dine_in,509 Highland Ave,Miami,FL,33101,(481) 450-4657,10:00,23:00,true,2016-02-24
STR0002,Slice & Dice #0002,dine_in,9774 Market St,Miami,FL,33101,(232) 230-2535,10:00,23:00,true,2020-08-31
STR0003,Slice & Dice #0003,dine_in,9295 Maple Dr,Atlanta,GA,30303,(933) 865-9928,10:00,23:00,true,2020-01-14
STR0004,Slice & Dice #0004,delivery_hub,206 2nd St,Atlanta,GA,30303,(363) 914-7924,10:00,23:00,true,2016-09-28
STR0005,Slice & Dice #0005,delivery_hub,1774 Oak Ave,San Antonio,TX,78205,(589) 299-6881,10:00,23:00,true,2021-10-08
STR0006,Slice & Dice #0006,dine_in,7627 River Rd,Denver,CO,80202,(327) 587-2291,10:00,23:00,true,2024-04-20
STR0007,Slice & Dice #0007,delivery_hub,9559 Maple Dr,Miami,FL,33101,(921) 271-1750,10:00,23:00,true,2023-09-02
STR0008,Slice & Dice #0008,dine_in,3914 5th Ave,Denver,CO,80202,(303) 589-5554,10:00,23:00,true,2024-05-09
STR0009,Slice & Dice #0009,takeout,6165 Elm St,Phoenix,AZ,85004,(414) 886-5374,10:00,23:00,true,2022-08-31
STR0010,Slice & Dice #0010,dine_in,2903 River Rd,Miami,FL,33101,(946) 450-3677,10:00,23:00,true,2018-01-10
STR0011,Slice & Dice #0011,takeout,5413 5th Ave,Columbus,OH,43215,(986) 994-1916,10:00,23:00,true,2015-05-12
STR0012,Slice & Dice #0012,delivery_hub,6672 Cedar Ln,Nashville,TN,37203,(267) 416-6155,10:00,23:00,true,2020-08-06
STR0013,Slice & Dice #0013,express_kiosk,2440 Cedar Ln,Seattle,WA,98101,(342) 452-9830,10:00,23:00,true,2021-07-22
STR0014,Slice & Dice #0014,express_kiosk,6030 Maple Dr,Seattle,WA,98101,(341) 721-9085,10:00,23:00,true,2015-07-12
STR0015,Slice & Dice #0015,dine_in,2604 Sunset Blvd,Charlotte,NC,28202,(363) 896-7916,10:00,23:00,true,2019-04-26
STR0016,Slice & Dice #0016,express_kiosk,8769 Cedar Ln,Seattle,WA,98101,(766) 211-2876,10:00,23:00,true,2021-01-08
STR0017,Slice & Dice #0017,delivery_hub,5673 Oak Ave,Nashville,TN,37203,(500) 645-3591,10:00,23:00,true,2025-09-11
STR0018,Slice & Dice #0018,delivery_hub,8301 2nd St,Tampa,FL,33602,(382) 719-2743,10:00,23:00,true,2018-05-07
STR0019,Slice & Dice #0019,takeout,2604 Elm St,Charlotte,NC,28202,(980) 365-9837,10:00,23:00,true,2025-05-06
STR0020,Slice & Dice #0020,dine_in,9913 Elm St,Chicago,IL,60601,(700) 219-2832,10:00,23:00,true,2024-11-08
STR0021,Slice & Dice #0021,delivery_hub,4023 Main St,Charlotte,NC,28202,(446) 780-2290,10:00,23:00,true,2020-06-13
STR0022,Slice & Dice #0022,dine_in,8827 2nd St,Charlotte,NC,28202,(328) 331-8787,10:00,23:00,true,2016-11-07
STR0023,Slice & Dice #0023,express_kiosk,3570 River Rd,Denver,CO,80202,(973) 947-4295,10:00,23:00,true,2019-06-23
STR0024,Slice & Dice #0024,delivery_hub,7277 River Rd,Miami,FL,33101,(662) 323-5061,10:00,23:00,true,2018-10-16
STR0025,Slice & Dice #0025,takeout,9741 Maple Dr,Austin,TX,78701,(207) 272-1964,10:00,23:00,true,2025-02-25
STR0026,Slice & Dice #0026,delivery_hub,1260 River Rd,Austin,TX,78701,(443) 485-8953,10:00,23:00,true,2016-06-25
STR0027,Slice & Dice #0027,express_kiosk,4081 2nd St,Tampa,FL,33602,(684) 616-4119,10:00,23:00,true,2022-05-23
STR0028,Slice & Dice #0028,delivery_hub,7039 Market St,Seattle,WA,98101,(678) 946-1887,10:00,23:00,true,2022-03-31
STR0029,Slice & Dice #0029,dine_in,6696 Highland Ave,Dallas,TX,75201,(547) 311-5073,10:00,23:00,true,2021-01-05
STR0030,Slice & Dice #0030,takeout,7012 Pine Rd,Portland,OR,97201,(485) 673-5092,10:00,23:00,true,2015-11-05
STR0031,Slice & Dice #0031,dine_in,928 Sunset Blvd,Portland,OR,97201,(753) 215-2528,10:00,23:00,true,2024-07-08
STR0032,Slice & Dice #0032,takeout,6758 Lakeview Blvd,San Antonio,TX,78205,(692) 418-7570,10:00,23:00,true,2016-11-05
STR0033,Slice & Dice #0033,dine_in,6496 Cedar Ln,Seattle,WA,98101,(665) 492-7930,10:00,23:00,true,2023-03-12
STR0034,Slice & Dice #0034,express_kiosk,2636 Maple Dr,Nashville,TN,37203,(503) 422-1958,10:00,23:00,true,2021-01-29
STR0035,Slice & Dice #0035,delivery_hub,1036 Main St,Austin,TX,78701,(798) 688-9238,10:00,23:00,true,2020-12-15
STR0036,Slice & Dice #0036,dine_in,8420 Oak Ave,Houston,TX,77002,(390) 270-2113,10:00,23:00,true,2017-08-21
STR0037,Slice & Dice #0037,dine_in,9433 Maple Dr,Seattle,WA,98101,(792) 808-1651,10:00,23:00,true,2019-09-14
STR0038,Slice & Dice #0038,delivery_hub,4372 Maple Dr,Miami,FL,33101,(885) 933-6147,10:00,23:00,true,2019-06-10
STR0039,Slice & Dice #0039,delivery_hub,7591 Elm St,Houston,TX,77002,(969) 274-1152,10:00,23:00,true,2021-04-25
STR0040,Slice & Dice #0040,dine_in,8908 Maple Dr,Dallas,TX,75201,(718) 471-3170,10:00,23:00,true,2024-11-17
STR0041,Slice & Dice #0041,takeout,6154 Cedar Ln,Dallas,TX,75201,(361) 648-9900,10:00,23:00,true,2021-11-10
STR0042,Slice & Dice #0042,dine_in,9186 Cedar Ln,Nashville,TN,37203,(879) 306-3200,10:00,23:00,true,2024-12-23
STR0043,Slice & Dice #0043,takeout,4562 Cedar Ln,Dallas,TX,75201,(819) 415-6617,10:00,23:00,true,2022-02-10
STR0044,Slice & Dice #0044,delivery_hub,8380 Lakeview Blvd,Charlotte,NC,28202,(457) 252-2512,10:00,23:00,true,2024-04-20
STR0045,Slice & Dice #0045,dine_in,158 Elm St,Denver,CO,80202,(989) 333-5291,10:00,23:00,true,2019-12-15
STR0046,Slice & Dice #0046,express_kiosk,9289 Main St,Chicago,IL,60601,(314) 277-3442,10:00,23:00,true,2024-05-11
STR0047,Slice & Dice #0047,takeout,7141 Pine Rd,Phoenix,AZ,85004,(242) 515-6974,10:00,23:00,true,2023-12-05
STR0048,Slice & Dice #0048,dine_in,5962 Maple Dr,Charlotte,NC,28202,(898) 455-2684,10:00,23:00,true,2021-04-12
STR0049,Slice & Dice #0049,express_kiosk,2632 Maple Dr,Columbus,OH,43215,(366) 381-7755,10:00,23:00,false,2023-04-05
STR0050,Slice & Dice #0050,delivery_hub,6845 2nd St,Columbus,OH,43215,(885) 952-5065,10:00,23:00,true,2023-10-31
STR0051,Slice & Dice #0051,dine_in,6367 5th Ave,Tampa,FL,33602,(239) 681-4644,10:00,23:00,true,2025-04-19
STR0052,Slice & Dice #0052,delivery_hub,5100 5th Ave,Portland,OR,97201,(433) 428-1387,10:00,23:00,true,2019-06-21
STR0053,Slice & Dice #0053,delivery_hub,1237 2nd St,Phoenix,AZ,85004,(485) 559-9346,10:00,23:00,true,2024-06-17
STR0054,Slice & Dice #0054,delivery_hub,552 Oak Ave,Chicago,IL,60601,(467) 382-5349,10:00,23:00,false,2021-09-09
STR0055,Slice & Dice #0055,delivery_hub,5239 Market St,Seattle,WA,98101,(820) 723-2894,10:00,23:00,true,2021-06-19
STR0056,Slice & Dice #0056,delivery_hub,827 Highland Ave,San Antonio,TX,78205,(646) 201-9518,10:00,23:00,true,2021-01-14
STR0057,Slice & Dice #0057,takeout,6067 Market St,Miami,FL,33101,(271) 880-6409,10:00,23:00,true,2022-06-10
STR0058,Slice & Dice #0058,dine_in,5020 River Rd,Charlotte,NC,28202,(516) 882-7691,10:00,23:00,true,2022-10-26
STR0059,Slice & Dice #0059,takeout,3243 Market St,Denver,CO,80202,(880) 588-3851,10:00,23:00,true,2018-05-17
STR0060,Slice & Dice #0060,dine_in,5078 Cedar Ln,Seattle,WA,98101,(415) 640-6279,10:00,23:00,true,2019-12-17
STR0061,Slice & Dice #0061,takeout,8475 Lakeview Blvd,Miami,FL,33101,(953) 373-2389,10:00,23:00,true,2022-06-12
STR0062,Slice & Dice #0062,delivery_hub,1630 5th Ave,Miami,FL,33101,(969) 440-6085,10:00,23:00,true,2017-03-26
STR0063,Slice & Dice #0063,dine_in,857 Maple Dr,Houston,TX,77002,(686) 825-2193,10:00,23:00,true,2024-12-08
STR0064,Slice & Dice #0064,takeout,6391 Lakeview Blvd,Miami,FL,33101,(609) 449-3417,10:00,23:00,true,2015-01-23
STR0065,Slice & Dice #0065,dine_in,7065 Maple Dr,Columbus,OH,43215,(380) 912-9486,10:00,23:00,true,2021-04-02
STR0066,Slice & Dice #0066,dine_in,7578 Pine Rd,San Antonio,TX,78205,(675) 883-9702,10:00,23:00,true,2021-09-04
STR0067,Slice & Dice #0067,express_kiosk,8370 Market St,Phoenix,AZ,85004,(761) 656-3607,10:00,23:00,true,2020-04-28
STR0068,Slice & Dice #0068,delivery_hub,4150 5th Ave,Portland,OR,97201,(852) 483-9540,10:00,23:00,true,2017-09-06
STR0069,Slice & Dice #0069,express_kiosk,1369 Highland Ave,Denver,CO,80202,(492) 440-5451,10:00,23:00,true,2025-01-05
STR0070,Slice & Dice #0070,dine_in,2367 Pine Rd,Chicago,IL,60601,(436) 592-3503,10:00,23:00,true,2015-09-21
STR0071,Slice & Dice #0071,express_kiosk,5521 River Rd,Seattle,WA,98101,(677) 625-2020,10:00,23:00,true,2019-09-17
STR0072,Slice & Dice #0072,dine_in,9532 Market St,Seattle,WA,98101,(688) 206-6763,10:00,23:00,true,2019-05-17
STR0073,Slice & Dice #0073,express_kiosk,8918 Highland Ave,Charlotte,NC,28202,(952) 759-4613,10:00,23:00,true,2018-01-22
STR0074,Slice & Dice #0074,express_kiosk,575 Market St,Seattle,WA,98101,(544) 884-7624,10:00,23:00,true,2024-06-04
STR0075,Slice & Dice #0075,takeout,8851 Main St,Portland,OR,97201,(603) 806-1444,10:00,23:00,true,2019-10-22
STR0076,Slice & Dice #0076,express_kiosk,3077 Main St,Houston,TX,77002,(466) 588-6363,10:00,23:00,true,2018-08-31
STR0077,Slice & Dice #0077,express_kiosk,4658 2nd St,Phoenix,AZ,85004,(631) 458-2341,10:00,23:00,true,2023-05-27
STR0078,Slice & Dice #0078,dine_in,5833 Maple Dr,Chicago,IL,60601,(865) 270-1659,10:00,23:00,true,2025-08-25
STR0079,Slice & Dice #0079,takeout,433 Park Ave,San Antonio,TX,78205,(356) 444-3068,10:00,23:00,true,2016-04-13
STR0080,Slice & Dice #0080,takeout,7719 Highland Ave,Atlanta,GA,30303,(462) 985-7043,10:00,23:00,true,2021-10-23
STR0081,Slice & Dice #0081,dine_in,2783 Cedar Ln,Tampa,FL,33602,(310) 792-1420,10:00,23:00,true,2021-06-16
STR0082,Slice & Dice #0082,express_kiosk,6598 Highland Ave,Miami,FL,33101,(403) 277-4978,10:00,23:00,true,2023-08-31
STR0083,Slice & Dice #0083,dine_in,9372 2nd St,Denver,CO,80202,(242) 555-9728,10:00,23:00,true,2019-02-26
STR0084,Slice & Dice #0084,delivery_hub,307 5th Ave,Dallas,TX,75201,(630) 701-2729,10:00,23:00,true,2019-01-23
